County_State,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122
washington_ri,18807.0,15.0,1.0,0.0,91149.0,72.6,4.0,0.0,110225.0,87.8,4.0,59.6
pembina_nd,1663.0,24.5,1.0,0.0,3443.0,50.6,3.0,0.0,4370.0,64.3,4.0,41.2
duplin_nc,7186.0,12.2,13.0,0.0,22862.0,38.9,14.0,0.0,34389.0,58.5,15.0,21.9
hot springs_wy,970.0,22.0,1.0,0.0,1873.0,42.4,2.0,0.0,2295.0,52.0,3.0,52.4
kewaunee_wi,3027.0,14.8,1.0,0.0,9518.0,46.6,3.0,0.0,11142.0,54.5,4.0,59.8
clackamas_or,59399.0,14.2,1.0,0.0,257954.0,61.7,4.0,0.0,310358.0,74.2,4.0,54.8
brazos_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135409.0,59.1,12.0,35.5
prince george_va,2126.0,5.5,5.0,0.0,9549.0,24.9,5.0,0.0,23186.0,60.5,8.0,0.7
cavalier_nd,1087.0,28.9,1.0,0.0,2090.0,55.6,4.0,0.0,2470.0,65.7,4.0,56.0
hickory_mo,1734.0,18.2,5.0,0.0,3586.0,37.6,6.0,0.0,4146.0,43.4,6.0,50.8
spotsylvania_va,4347.0,3.2,1.0,0.0,17585.0,12.9,1.0,0.0,71537.0,52.5,3.0,11.5
chesterfield_va,25385.0,7.2,1.0,0.0,113602.0,32.2,1.0,0.0,228058.0,64.6,4.0,30.0
fulton_pa,1139.0,7.8,1.0,0.0,4401.0,30.3,1.0,0.0,5827.0,40.1,2.0,42.5
todd_sd,2392.0,23.5,13.0,0.0,5330.0,52.4,15.0,0.0,8469.0,83.2,16.0,27.6
wheeler_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,49.3,11.0,36.6
mahnomen_mn,2089.0,37.8,13.0,0.0,3038.0,55.0,15.0,0.0,3682.0,66.6,16.0,44.3
harrisonburg city_va,241.0,0.5,13.0,0.0,2560.0,4.8,13.0,0.0,22587.0,42.6,14.0,1.9
vernon_mo,2067.0,10.1,5.0,0.0,6803.0,33.1,5.0,0.0,8155.0,39.7,6.0,40.9
price_wi,2357.0,17.7,1.0,0.0,7285.0,54.6,4.0,0.0,8729.0,65.4,4.0,56.2
gallia_oh,2074.0,6.9,9.0,0.0,6720.0,22.5,9.0,0.0,15230.0,50.9,11.0,43.4
crittenden_ky,1108.0,12.6,5.0,0.0,3178.0,36.1,6.0,0.0,3988.0,45.3,7.0,39.1
