county_state,state,candidate_won,party,winner_votes,total_votes,pct_trump,pct_biden
jackson_il,IL,Joe Biden,DEM,11181,22716,0.508,0.492
kane_il,IL,Joe Biden,DEM,130166,231876,0.439,0.561
kendall_il,IL,Joe Biden,DEM,33168,64205,0.483,0.517
lake_il,IL,Joe Biden,DEM,204032,334156,0.389,0.611
mclean_il,IL,Joe Biden,DEM,43933,87389,0.497,0.503
peoria_il,IL,Joe Biden,DEM,43578,83973,0.481,0.519
rock island_il,IL,Joe Biden,DEM,36691,66817,0.451,0.549
st. clair_il,IL,Joe Biden,DEM,68325,128104,0.467,0.533
will_il,IL,Joe Biden,DEM,183915,346266,0.469,0.531
winnebago_il,IL,Joe Biden,DEM,64056,127710,0.498,0.502
lake_in,IN,Joe Biden,DEM,124870,219956,0.432,0.568
marion_in,IN,Joe Biden,DEM,247772,389619,0.364,0.636
monroe_in,IN,Joe Biden,DEM,39861,63151,0.369,0.631
st. joseph_in,IN,Joe Biden,DEM,59896,115238,0.48,0.52
tippecanoe_in,IN,Joe Biden,DEM,35017,71448,0.51,0.49
