,County_State,Pct_Hesitant_Feb22,Pct_Somewhat_Hesitant_Feb22,Pct_Highly_Hesitant_Feb22,Pct_Uninsured,SVI_Socio,SVI_HHDisab,SVI_Minority,SVI_HousingTransp,SVI_Overall,Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_030121,Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_090121,Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_030122,Booster_Doses_Vax_Pct_030122,SVI_Ctgy,Metro_Status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,State,Candidate_Won,Pct_Trump,Pct_Biden,Hesitant_nzip,Somewhat_Hesitant_nzip,Highly_Hesitant_nzip,Census2019_Pct_65Plus,Missing_March21,Missing_Sept21,Missing_March22,Dose1_Pop_Pct_090121_impute,Series_Complete_Pop_Pct_090121_impute,Cluster,county
1248,henry_il,0.209,0.052,0.157,0.0436276888241953,0.4365862607148633,0.5478216783923662,0.2141751718421478,0.3476583575934012,0.3518951843765162,19.3,6.7,56.9,47.1,64.5,57.9,49.0,1.0,1.0,48913.0,10217.0,27887.0,IL,1.0,0.595,0.405,4.598,1.144,3.454,0.2088810745609551,0,0,0,56.9,47.1,1,Henry County
1249,henry_in,0.231,0.071,0.16,0.0721902522533671,0.5826324526122558,0.6748894169090196,0.0949805416331497,0.4216378978198544,0.4415758740176969,17.0,9.3,47.7,44.0,56.3,51.6,44.5,2.0,0.0,47972.0,9264.0,28970.0,IN,1.0,0.715,0.285,4.851,1.491,3.36,0.1931126490452764,0,0,0,47.7,44.0,0,Henry County
1250,henry_ky,0.286,0.088,0.198,0.0831541671936259,0.6749013279372708,0.8116831921082586,0.1051057291007967,0.5157388895915012,0.5737171240672821,13.2,6.0,52.0,46.0,60.0,53.1,41.1,3.0,1.0,16126.0,2905.0,9479.0,KY,1.0,0.72,0.28,3.718,1.144,2.5740000000000003,0.1801438670470048,0,0,0,52.0,46.0,0,Henry County
1251,henry_mo,0.217,0.055,0.162,0.1125201010797151,0.6723866482885366,0.8191033080634045,0.1224415759246496,0.5928336411670113,0.5987006018837584,16.6,8.9,43.1,36.3,52.1,45.4,41.8,3.0,0.0,21824.0,4827.0,12238.0,MO,1.0,0.744,0.256,2.17,0.55,1.62,0.2211785190615836,0,0,0,43.1,36.3,0,Henry County
1252,henry_oh,0.338,0.105,0.234,0.0357665836872162,0.3712613486601259,0.6838193293307951,0.160251845072485,0.4534516803338703,0.3877820947430077,12.7,6.3,0.0,38.2,55.3,53.6,52.8,1.0,0.0,27006.0,5167.0,15591.0,OH,1.0,0.71,0.29,5.746,1.785,3.978,0.1913278530696882,0,1,0,34.0,38.2,0,Henry County
1253,henry_tn,0.298,0.087,0.211,0.0907401096688249,0.676912342389789,0.8030421109699805,0.1813661327798258,0.4463317327054741,0.5632719755878435,18.3,12.5,43.4,37.0,52.2,46.2,45.5,3.0,0.0,32345.0,7684.0,18073.0,TN,1.0,0.747,0.253,2.384,0.696,1.688,0.237563765651569,0,0,0,43.4,37.0,0,Henry County
1254,henry_va,0.254,0.064,0.189,0.1146002946421648,0.790064493680701,0.7693365821508877,0.3694714429712336,0.59740249670466,0.7243314317283089,4.9,1.8,17.2,14.5,44.7,39.0,20.4,4.0,0.0,50557.0,12408.0,28463.0,VA,1.0,0.641,0.359,2.54,0.64,1.89,0.2454259548628281,0,0,0,17.2,14.5,2,Henry County
1255,herkimer_ny,0.199,0.062,0.137,0.0580753539716822,0.5861233117350612,0.6842481081513478,0.1739133365330773,0.6413179297656187,0.5584304839612831,16.5,8.8,52.9,49.3,64.1,58.5,52.7,3.0,1.0,61319.0,13017.0,35776.0,NY,1.0,0.644,0.356,5.572,1.736,3.836,0.2122833053376604,0,0,0,52.9,49.3,1,Herkimer County
1256,hernando_fl,0.266,0.06,0.206,0.1246168498489293,0.6307258221307527,0.7028252118272978,0.3923280591802776,0.3532548868064982,0.5347917365459561,14.1,6.4,51.7,43.7,61.5,54.3,42.0,3.0,1.0,193920.0,53348.0,105214.0,FL,1.0,0.646,0.354,3.192,0.72,2.472,0.2751031353135313,0,0,0,51.7,43.7,0,Hernando County
1257,hertford_nc,0.197,0.071,0.126,0.115472198070633,0.8483875419202583,0.8122813356518859,0.608799441063222,0.8174561089719703,0.87272584772078,17.9,7.5,37.6,25.2,61.8,47.5,30.5,4.0,0.0,23677.0,4836.0,14463.0,NC,0.0,0.333,0.667,1.773,0.6389999999999999,1.134,0.2042488490940575,0,0,0,37.6,25.2,0,Hertford County
